has.passed,parent.batch.id,failure.reason.group
1,2381036,NO REASON GIVEN
1,2381065,NO REASON GIVEN
1,2381084,NO REASON GIVEN
1,2381197,NO REASON GIVEN
1,2381200,NO REASON GIVEN
0,2381278,NO REASON GIVEN
0,2381560,NO REASON GIVEN
1,2381620,NO REASON GIVEN
1,2381627,NO REASON GIVEN
1,2382273,NO REASON GIVEN
1,2382789,NO REASON GIVEN
1,2382830,NO REASON GIVEN
0,2382877,NO REASON GIVEN
1,2382888,NO REASON GIVEN
0,2383009,NO REASON GIVEN
0,2383039,NO REASON GIVEN
1,2383171,NO REASON GIVEN
0,2383201,UNKNOWN
1,2383243,NO REASON GIVEN
1,2383321,NO REASON GIVEN
0,2383398,NO REASON GIVEN
0,2383611,UNKNOWN
1,2383942,NO REASON GIVEN
1,2383979,NO REASON GIVEN
1,2384056,NO REASON GIVEN
0,2384446,UNKNOWN
1,2384565,NO REASON GIVEN
1,2385063,NO REASON GIVEN
1,2385112,NO REASON GIVEN
1,2385301,NO REASON GIVEN
1,2385447,NO REASON GIVEN
0,2385538,NO REASON GIVEN
1,2385541,NO REASON GIVEN
1,2385591,NO REASON GIVEN
0,2385594,NO REASON GIVEN
1,2386080,NO REASON GIVEN
1,2386292,NO REASON GIVEN
1,2386418,NO REASON GIVEN
0,2386425,NO REASON GIVEN
1,2386455,NO REASON GIVEN
1,2386538,NO REASON GIVEN
1,2386687,NO REASON GIVEN
1,2386731,NO REASON GIVEN
1,2386787,NO REASON GIVEN
1,2386800,NO REASON GIVEN
0,2386835,NO REASON GIVEN
1,2386836,NO REASON GIVEN
1,2386950,NO REASON GIVEN
1,2387082,NO REASON GIVEN
1,2387492,NO REASON GIVEN
1,2387749,NO REASON GIVEN
1,2387832,NO REASON GIVEN
0,2387838,NO REASON GIVEN
1,2387929,NO REASON GIVEN
0,2387992,NO REASON GIVEN
1,2388325,NO REASON GIVEN
0,2388431,NO REASON GIVEN
0,2388777,NO REASON GIVEN
0,2388783,NO REASON GIVEN
0,2388792,UNKNOWN
1,2388808,NO REASON GIVEN
0,2388812,NO REASON GIVEN
0,2388859,NO REASON GIVEN
0,2388862,NO REASON GIVEN
1,2388956,NO REASON GIVEN
1,2389119,NO REASON GIVEN
1,2389132,NO REASON GIVEN
1,2389424,NO REASON GIVEN
1,2389482,NO REASON GIVEN
0,2389521,NO REASON GIVEN
1,2389556,NO REASON GIVEN
1,2389604,NO REASON GIVEN
1,2389624,NO REASON GIVEN
0,2389671,NO REASON GIVEN
1,2389722,NO REASON GIVEN
0,2389779,NO REASON GIVEN
1,2389909,NO REASON GIVEN
1,2389917,NO REASON GIVEN
1,2389919,NO REASON GIVEN
1,2389969,NO REASON GIVEN
0,2390065,NO REASON GIVEN
1,2390120,NO REASON GIVEN
1,2390149,NO REASON GIVEN
0,2390179,NO REASON GIVEN
1,2390193,NO REASON GIVEN
0,2390195,NO REASON GIVEN
1,2390328,NO REASON GIVEN
1,2390331,NO REASON GIVEN
1,2390335,NO REASON GIVEN
1,2390409,NO REASON GIVEN
1,2390493,NO REASON GIVEN
1,2390551,NO REASON GIVEN
1,2390607,NO REASON GIVEN
1,2390609,NO REASON GIVEN
1,2390617,NO REASON GIVEN
1,2390767,NO REASON GIVEN
0,2390768,NO REASON GIVEN
1,2390860,NO REASON GIVEN
1,2390899,NO REASON GIVEN
1,2390925,NO REASON GIVEN
0,2390928,UNKNOWN
1,2391015,NO REASON GIVEN
1,2391068,NO REASON GIVEN
1,2391095,NO REASON GIVEN
1,2391272,NO REASON GIVEN
1,2391419,NO REASON GIVEN
1,2391420,NO REASON GIVEN
0,2391426,NO REASON GIVEN
0,2391658,NO REASON GIVEN
0,2391825,NO REASON GIVEN
0,2391883,NO REASON GIVEN
0,2391888,NO REASON GIVEN
1,2391961,NO REASON GIVEN
0,2392052,NO REASON GIVEN
0,2392099,NO REASON GIVEN
1,2392170,NO REASON GIVEN
1,2392481,NO REASON GIVEN
1,2392521,NO REASON GIVEN
0,2392598,NO REASON GIVEN
1,2392640,NO REASON GIVEN
1,2392717,NO REASON GIVEN
1,2392815,NO REASON GIVEN
0,2392874,NO REASON GIVEN
0,2392921,NO REASON GIVEN
1,2393394,NO REASON GIVEN
